slice,B_Area1_5
139,0.000062
139,0.01864
139,0.000062
139,0.000123
139,0.000369
139,0.01298
139,0.000185
139,0.000062
140,0.000062
140,0.04361
140,0.000062
140,0.003137
140,0.000062
140,0.000123
140,0.000062
140,0.0008
140,0.05782
140,0.04128
141,0.1287
141,0.000123
141,0.000062
141,0.000062
141,0.000123
141,0.001046
141,0.000062
141,0.04595
142,0.000123
142,0.1285
142,0.000062
142,0.000062
142,0.05167
142,0.0008
143,0.000123
143,0.000062
143,0.000185
143,0.1359
143,0.000062
143,0.000984
143,0.05432
144,0.000554
144,0.000185
144,0.007197
144,0.000123
144,0.000062
144,0.000062
144,0.000554
144,0.000185
144,0.00123
144,0.000062
144,0.000123
144,0.05567
144,0.06072
144,0.000492
145,0.02196
145,0.06028
145,0.000123
145,0.000062
145,0.000615
145,0.01077
145,0.000062
146,0.01353
146,0.000062
146,0.000185
146,0.000554
146,0.000554
146,0.000062
146,0.05807
146,0.003383
147,0.003014
147,0.003199
147,0.000492
147,0.000123
147,0.04509
147,0.000185
147,0.000062
148,0.000185
148,0.000615
148,0.000984
148,0.000615
148,0.000677
148,0.000615
148,0.000062
148,0.000123
148,0.02221
148,0.000062
149,0.01015
149,0.000062
149,0.000185
149,0.004368
149,0.02048
150,0.000062
150,0.000062
150,0.01415
150,0.000062
150,0.01901
151,0.00732
151,0.006951
151,0.000062
152,0.00203
152,0.000062
152,0.000062
152,0.000062
152,0.000062
152,0.000062
152,0.000062
152,0.000062
152,0.000123
152,0.000062
153,0.000123
153,0.004429
153,0.000062
153,0.000062
153,0.000369
153,0.000123
154,0.000185
154,0.000246
154,0.000185
154,0.007382
154,0.000492
154,0.001353
154,0.000308
154,0.000554
154,0.000062
154,0.000123
154,0.000431
155,0.003998
155,0.000062
155,0.000123
155,0.000062
155,0.000431
155,0.000308
155,0.000062
156,0.000062
156,0.000246
157,0.000554
157,0.000308
158,0.000123
158,0.000062
158,0.000062
158,0.000246
159,0.001169
159,0.004552
159,0.000062
159,0.02264
159,0.000185
159,0.07166
159,0.000123
159,0.000123
159,0.003076
159,0.000062
160,0.000369
160,0.001968
160,0.000246
160,0.002461
160,0.3936
160,0.000185
160,0.005967
161,0.000062
161,0.000062
161,0.000984
161,0.5192
161,0.000062
161,0.000062
161,0.001292
161,0.009965
161,0.000062
161,0.000123
161,0.000369
162,0.5869
162,0.000062
162,0.000554
162,0.0382
162,0.000246
162,0.000246
163,0.6106
163,0.001046
163,0.000246
163,0.000062
163,0.000492
163,0.05696
164,0.593
164,0.000185
164,0.000431
164,0.000062
164,0.07923
165,0.5256
165,0.06945
165,0.000062
165,0.005844
166,0.4026
166,0.000738
166,0.007812
166,0.000185
166,0.007443
166,0.000185
166,0.000431
166,0.000123
166,0.000062
166,0.000062
166,0.04509
166,0.000062
166,0.000308
167,0.313
167,0.000062
167,0.000308
167,0.01341
167,0.000369
167,0.000062
167,0.001046
167,0.000123
167,0.000431
167,0.000062
167,0.031
168,0.1459
168,0.000062
168,0.000308
168,0.01722
168,0.000062
168,0.000062
168,0.01261
