slice,B_Area4
28,0.01919
28,0.000062
28,0.000062
28,0.01218
28,0.000677
28,0.000431
28,0.0008
29,0.000062
29,0.1067
29,0.000062
29,0.007443
29,0.000062
29,0.01107
29,0.000062
29,0.000062
29,0.02774
29,0.000615
29,0.000123
29,0.000062
29,0.000062
29,0.001661
29,0.000369
29,0.006582
29,0.04011
29,0.000984
29,0.1232
29,0.5678
29,0.000308
29,0.000062
29,0.01489
29,0.000246
29,0.000062
29,0.001046
29,0.000062
29,0.000246
29,0.000062
29,0.003998
29,0.000123
29,0.000246
29,0.1551
29,0.000062
29,0.000369
29,0.000062
29,0.02276
29,0.002768
29,0.4627
29,0.000062
29,0.005782
29,0.00732
29,0.000062
29,0.000123
29,0.000062
29,0.000123
29,0.003322
29,0.001907
29,0.006028
29,0.000554
29,0.000123
29,0.000062
29,0.000062
29,0.2149
29,0.005598
29,0.000062
29,0.000062
29,0.000062
29,0.000062
29,0.000062
29,0.007013
29,0.001476
29,0.000062
29,0.000308
29,0.01089
29,0.1048
29,0.001845
29,0.000185
29,0.000062
29,0.000369
29,0.001046
29,0.000923
29,0.000062
29,0.000554
29,0.000062
29,0.000062
29,0.002584
29,0.000062
30,0.1182
30,0.02491
30,0.000246
30,0.000123
30,0.001107
30,0.000062
30,0.000062
30,0.008551
30,0.0112
30,0.000062
30,0.008858
30,0.000062
30,0.000062
30,0.000062
30,0.01895
30,0.01858
30,0.003629
30,0.7425
30,0.000062
30,0.01163
30,0.000062
30,0.002153
30,0.000062
30,0.000615
30,0.000246
30,0.000062
30,0.000062
30,0.1536
30,0.000123
30,0.000062
30,0.7285
30,0.000062
30,0.000062
30,0.000062
30,0.002768
30,0.005844
30,0.003014
30,0.2451
30,0.007259
30,0.003875
30,0.007689
30,0.01169
30,0.000062
30,0.001722
30,0.000185
30,0.002338
30,0.004183
30,0.000123
30,0.000123
30,0.000062
30,0.000185
30,0.001292
31,0.000062
31,0.0315
31,0.1065
31,0.000062
31,0.001169
31,0.000123
31,0.000185
31,0.01095
31,0.000369
31,0.000431
31,0.000123
31,0.000062
31,0.000062
31,0.000246
31,0.04103
31,0.000923
31,0.000246
31,0.002707
31,0.003445
31,0.1196
31,0.000431
31,0.000062
31,0.000062
31,0.000062
31,0.000308
31,0.000062
31,0.03851
31,0.000062
31,0.003937
31,0.000246
31,0.001292
31,0.000062
31,0.004614
31,0.000123
31,0.000062
31,0.1175
31,0.000185
31,0.000492
31,0.05992
31,0.005598
31,0.000062
31,0.000123
31,0.09633
31,1.546
31,0.000062
31,0.003199
31,0.000062
31,0.000062
31,0.000123
31,0.000062
31,0.001107
31,0.000062
31,0.000185
31,0.000062
31,0.000123
31,0.000062
31,0.007443
31,0.000123
31,0.004491
31,0.002215
31,0.001415
31,0.008058
31,0.000062
31,0.000062
31,0.000062
31,0.006951
31,0.000308
31,0.000185
31,0.01144
31,0.000062
31,0.000062
31,0.000615
31,0.000615
31,0.000123
31,0.000062
31,0.000246
31,0.000062
32,0.004121
32,0.1537
32,0.008612
32,0.01286
32,0.000062
32,0.1909
32,0.000062
32,0.000123
32,0.000123
